,review,label,count,review_nostop,nostop_count
406,its so stupid to have to keep buying new chargers car chargers cradles headphones and car kits every time a new phone comes out,0,24,stupid keep buying new chargers car chargers cradles headphones car kits every time new phone comes,16
407,works great,1,2,works great,2
408,plantronics bluetooth excelent buy,1,4,plantronics bluetooth excelent buy,4
409,i came over from verizon because cingulair has nicer cell phones the first thing i noticed was the really bad service,0,21,came verizon cingulair nicer cell phones first thing noticed really bad service,12
410,ill be looking for a new earpiece,0,7,ill looking new earpiece,4
411,i highly recommend this device to everyone,1,7,highly recommend device everyone,4
412,jawbone era is awesome too,1,5,jawbone era awesome,3
413,we received a white colored battery that goes dead after a couple hoursthe original used to last a week  but still lasts longer than thereplacement,0,25,received white colored battery goes dead couple hoursthe original used last week still lasts longer thereplacement,16
414,after a year the battery went completely dead on my headset,0,11,year battery went completely dead headset,6
415,i have used several phone in two years but this one is the best,1,14,used several phone two years one best,7
416,an awesome new look for fall ,1,6,awesome new look fall,4
417,this is the first phone ive had that has been so cheaply made,0,13,first phone ive cheaply made,5
418,att is not clear sound is very distorted and you have to yell when you talk,0,16,att clear sound distorted yell talk,6
419,the plastic breaks really easy on this clip,0,8,plastic breaks really easy clip,5
420,price is good too,1,4,price good,2
421,dont make the same mistake i did,0,7,dont make mistake,3
422,oh and i forgot to also mention the weird color effect it has on your phone,0,16,oh forgot also mention weird color effect phone,8
423,im using it with an iriver spinn with case and it fits fine,1,13,im using iriver spinn case fits fine,7
424,also the area where my unit broke im not too fond of the magnetic strap,0,15,also area unit broke im fond magnetic strap,8
425,overall i am psyched to have a phone which has all my appointments and contacts in and gets great reception,1,20,overall psyched phone appointments contacts gets great reception,8
426,every thing on phone work perfectly she like it,1,9,every thing phone work perfectly like,6
427,another note about this phones appearance is that it really looks rather bland especially in the all black model,0,19,another note phones appearance really looks rather bland especially black model,11
428,its really easy,1,3,really easy,2
429,my sanyo has survived dozens of drops on blacktop without ill effect,1,12,sanyo survived dozens drops blacktop without ill effect,8
430,fantastic earphones,1,2,fantastic earphones,2
431,it finds my cell phone right away when i enter the car,1,12,finds cell phone right away enter car,7
432,low quality,0,2,low quality,2
433,i highly recommend this modest priced cellular phone,1,8,highly recommend modest priced cellular phone,6
434,but it does get better reception and clarity than any phone ive had before,1,14,get better reception clarity phone ive,6
435,warning  stay away,0,3,warning stay away,3
436,i wish i could return the unit and get back my money,0,12,wish could return unit get back money,7
437,awsome device works great,1,4,awsome device works great,4
438,i used to talk on it for     hours and the battery would be literally drained and dying,0,17,used talk hours battery would literally drained dying,8
439,if you dont find it too bad as again the unit comes with one earpad onlyi would not recommend this to anyone,0,22,dont find bad unit comes one earpad onlyi would recommend anyone,11
440,very displeased,0,2,displeased,1
441,i might have gotten a defect but i would not risk buying it again because of the built quality alone,0,20,might gotten defect would risk buying built quality alone,9
442,they made this case too small and is very difficult to install,0,12,made case small difficult install,5
443,restored my phone to like new performance,1,7,restored phone like new performance,5
444,i would recommend purchasing the jabra jx series  which works flawlessly with my moto q go figure,1,17,would recommend purchasing jabra jx series works flawlessly moto q go figure,12
445,i searched the internet and found this one to be the best value,1,13,searched internet found one best value,6
446,does not fit,0,3,fit,1
447,very happy with this product,1,5,happy product,2
448,the screen size is big key pad lit well enough and the camera quality is excellent for a camera phone,1,20,screen size big key pad lit well enough camera quality excellent camera phone,13
449,theres really nothing bad i can say about this headset,0,10,theres really nothing bad say headset,6
450,im glad i found this product on amazon it is hard to find it wasnt high priced,1,17,im glad found product amazon hard find wasnt high priced,10
451,portable and it works,1,4,portable works,2
452,my colleague  i now get great receptiona little expensive but performance is great,1,13,colleague get great receptiona little expensive performance great,8
453,i even fully charged it before i went to bed and turned off blue tooth and wifi and noticed that it only had   left in the morning,0,27,even fully charged went bed turned blue tooth wifi noticed left morning,12
454,ive also had problems with the phone reading the memory card in which i always turn it on and then off again,0,22,ive also problems phone reading memory card always turn,9
455,not good when wearing a hat or sunglasses,0,8,good wearing hat sunglasses,4
456,timely shipment and quality product,1,5,timely shipment quality product,4
457,nice solid keyboard,1,3,nice solid keyboard,3
458,very well made and fits my surefire gx perfectly,1,9,well made fits surefire gx perfectly,6
459,horrible phone,0,2,horrible phone,2
460,bt battery junk,0,3,bt battery junk,3
461,we would recommend these to others,1,6,would recommend others,3
462,cant get the software to work with my computer,0,9,cant get software work computer,5
463,disappointed,0,1,disappointed,1
464,poor voice clarity,0,3,poor voice clarity,3
465,the battery works great,1,4,battery works great,3
466,no buyers remorse on this one,0,6,buyers remorse one,3
467,very disappointed in accessoryone,0,4,disappointed accessoryone,2
468,i find this inexcusable and so will probably be returning this phone and perhaps changing carriers,0,16,find inexcusable probably returning phone perhaps changing carriers,8
